2026-02-13T16:49:41.633+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=sphz0ex5
2026-02-13T16:49:41.635+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:41.636+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:41.639+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=sphz0ex5
2026-02-13T16:49:41.641+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=sphz0ex5
2026-02-13T16:49:41.649+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:46.666+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=spluomny
2026-02-13T16:49:46.671+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:46.673+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:46.677+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=spluomny
2026-02-13T16:49:46.681+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=spluomny
2026-02-13T16:49:46.690+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:47.316+05:30 DEBUG 14028 --- [http-nio-5002-exec-6] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/bookings
2026-02-13T16:49:47.322+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.security.web.FilterChainProxy        : Securing POST /api/bookings
